acoustic_data,time_to_failure
12,1.3137978008
6,1.3137977997
4,1.3137977986
-1,1.3137977975
0,1.3137977964
6,1.3137977953
7,1.3137977942
6,1.3137977931
2,1.313797792
-2,1.3137977909
0,1.3137977898
4,1.3137977887
1,1.3137977876
5,1.3137977865
6,1.3137977854
9,1.3137977843
8,1.3137977832
1,1.3137977821
4,1.313797781
8,1.3137977799
11,1.3137977788
10,1.3137977777
3,1.3137977766
-1,1.3137977755
0,1.3137977744
3,1.3137977733
5,1.3137977722
1,1.3137977711
0,1.31379777
3,1.3137977689
8,1.3137977678
6,1.3137977667
8,1.3137977656
13,1.3137977645
11,1.3137977634
7,1.3137977623
7,1.3137977612
9,1.3137977601
2,1.313797759
2,1.3137977579
3,1.3137977568
0,1.3137977557
1,1.3137977546
3,1.3137977535
3,1.3137977524
2,1.3137977513
1,1.3137977502
4,1.3137977491
3,1.313797748
3,1.3137977469
5,1.3137977458
-1,1.3137977447
6,1.3137977436
7,1.3137977425
3,1.3137977414
4,1.3137977403
0,1.3137977392
1,1.3137977381
7,1.313797737
9,1.3137977359
8,1.3137977348
2,1.3137977337
2,1.3137977326
6,1.3137977315
8,1.3137977304
7,1.3137977293
4,1.3137977282
1,1.3137977271
6,1.313797726
4,1.3137977249
3,1.3137977238
7,1.3137977227
-1,1.3137977216
3,1.3137977205
4,1.3137977194
2,1.3137977183
10,1.3137977172
8,1.3137977161
0,1.313797715
7,1.3137977139
6,1.3137977128
5,1.3137977117
6,1.3137977106
3,1.3137977095
0,1.3137977084
3,1.3137977073
6,1.3137977062
3,1.3137977051
4,1.313797704
2,1.3137977029
5,1.3137977018
6,1.3137977007
4,1.3137976996
6,1.3137976985
2,1.3137976974
6,1.3137976963
7,1.3137976952
7,1.3137976941
3,1.313797693
1,1.3137976919
5,1.3137976908
5,1.3137976897
2,1.3137976886
3,1.3137976875
5,1.3137976864
6,1.3137976853
4,1.3137976842
9,1.3137976831
10,1.313797682
7,1.3137976809
7,1.3137976798
3,1.3137976787
1,1.3137976776
3,1.3137976765
4,1.3137976754
